,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,20201009,15.18,0.464,1.0469,0.96,10.448,11.1289,1.0466,2.1353,1.9843,0.8452,1.4361,1940591.8198,1940575.268,860111.1956,29458183.8246,29457932.5682
1,000001.SZ,20200930,15.17,0.6272,1.415,1.5,10.4411,11.1216,1.046,2.1339,1.983,0.8457,1.437,1940591.8198,1940575.268,860111.1956,29438777.9064,29438526.8156
2,000001.SZ,20200929,14.8,0.6093,1.3747,1.57,10.1865,10.8503,1.0204,2.0818,1.9346,0.8669,1.473,1940591.8198,1940575.268,860111.1956,28720758.933,28720513.9664
3,000001.SZ,20200928,15.31,0.3157,0.7124,0.76,10.5375,11.2242,1.0556,2.1536,2.0013,0.838,1.4239,1940591.8198,1940575.268,860111.1956,29710460.7611,29710207.3531
4,000001.SZ,20200925,15.19,0.3164,0.714,0.64,10.4549,11.1362,1.0473,2.1367,1.9856,0.8446,1.4352,1940591.8198,1940575.268,860111.1956,29477589.7428,29477338.3209
5,000001.SZ,20200924,15.12,0.5468,1.2336,1.12,10.4067,11.0849,1.0425,2.1269,1.9764,0.8485,1.4418,1940591.8198,1940575.268,860111.1956,29341748.3154,29341498.0522
6,000001.SZ,20200923,15.63,0.3088,0.6967,0.62,10.7577,11.4588,1.0777,2.1986,2.0431,0.8208,1.3948,1940591.8198,1940575.268,860111.1956,30331450.1435,30331191.4388
7,000001.SZ,20200922,15.57,0.4472,1.0089,0.94,10.7164,11.4148,1.0735,2.1902,2.0353,0.824,1.4001,1940591.8198,1940575.268,860111.1956,30215014.6343,30214756.9228
8,000001.SZ,20200921,15.86,0.4618,1.0419,1.01,10.916,11.6274,1.0935,2.231,2.0732,0.8089,1.3745,1940591.8198,1940575.268,860111.1956,30777786.262,30777523.7505
9,000001.SZ,20200918,16.08,0.6637,1.4975,1.61,11.0675,11.7887,1.1087,2.2619,2.1019,0.7984,1.3566,1940591.8198,1940575.268,860111.1956,31204716.4624,31204450.3094
10,000001.SZ,20200917,15.57,0.5092,1.1489,1.24,10.7164,11.4148,1.0735,2.1902,2.0353,0.824,1.4001,1940591.8198,1940575.268,860111.1956,30215014.6343,30214756.9228
11,000001.SZ,20200916,15.44,0.3723,0.8399,0.85,10.627,11.3195,1.0646,2.1719,2.0183,0.8309,1.4119,1940591.8198,1940575.268,860111.1956,29962737.6977,29962482.1379
12,000001.SZ,20200915,15.35,0.3386,0.764,0.66,10.565,11.2535,1.0584,2.1592,2.0065,0.8358,1.4202,1940591.8198,1940575.268,860111.1956,29788084.4339,29787830.3638
13,000001.SZ,20200914,15.3,0.3505,0.7909,0.63,10.5306,11.2169,1.0549,2.1522,2.0,0.8385,1.4248,1940591.8198,1940575.268,860111.1956,29691054.8429,29690801.6004
14,000001.SZ,20200911,15.01,0.4917,1.1094,0.9,10.331,11.0043,1.0349,2.1114,1.9621,0.8547,1.4524,1940591.8198,1940575.268,860111.1956,29128283.2152,29128034.7727
15,000001.SZ,20200910,15.34,0.4932,1.1128,0.85,10.5581,11.2462,1.0577,2.1578,2.0052,0.8364,1.4211,1940591.8198,1940575.268,860111.1956,29768678.5157,29768424.6111
16,000001.SZ,20200909,15.21,0.5223,1.1784,0.8,10.4687,11.1509,1.0487,2.1395,1.9882,0.8435,1.4333,1940591.8198,1940575.268,860111.1956,29516401.5792,29516149.8263
17,000001.SZ,20200908,15.43,0.7254,1.6365,1.23,10.6201,11.3122,1.0639,2.1705,2.017,0.8315,1.4128,1940591.8198,1940575.268,860111.1956,29943331.7795,29943076.3852
