,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,518890.SH,中银上海金ETF,中银基金,招商银行,商品型,20200828,,20200928,20200717,,2.9529,0.5,0.1,,1.0,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,L,黄金现货合约,契约型开放式,,20200928,20200928,E
1,502056.SH,医疗基金(LOF),广发基金,北京银行,股票型,20200826,,20150731,20200826,,0.5931,0.5,0.15,,1.0,,,中证医疗指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200831,20200831,E
2,510760.SH,上证综指ETF,国泰基金,上海银行,股票型,20200821,,20200909,20200810,,13.135,0.5,0.1,,1.0,0.1,,上证综合指数收益率,L,被动指数型,契约型开放式,,20200909,20200909,E
3,515500.SH,中证长三角领先,海富通基金,中国银行,股票型,20200813,,20200918,20200506,,4.344,0.15,0.05,,1.0,0.1,,中证长三角领先指数收益率,L,被动指数型,契约型开放式,,20200918,20200918,E
4,159820.SZ,500ETF基,天弘基金,国泰君安,股票型,20200807,,20200824,20200720,,3.3391,0.5,0.1,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200824,20200824,E
5,161121.SZ,银行,易方达基金,中国建设银行,股票型,20200807,,20200818,20200807,,3.4316,0.5,0.1,,1.0,,,中证银行指数收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200807,20200807,E
6,518860.SH,上海金AUETF,建信基金,交通银行,商品型,20200805,,20200907,20200713,,2.62,0.5,0.1,,1.0,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率,L,黄金现货合约,契约型开放式,,20200907,20200907,E
7,159808.SZ,创业板RT,融通基金,中国建设银行,股票型,20200805,,20200904,20200430,,6.7348,0.3,0.1,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20200904,20200904,E
8,511360.SH,短融ETF,海富通基金,兴业银行,债券型,20200803,,20200925,20200430,,5.1146,0.15,0.05,,1.0,0.1,,中证短融指数收益率,L,被动指数型,契约型开放式,,20200925,20200925,E
9,513990.SH,上证港股通ETF,招商基金,兴业银行,股票型,20200803,,20200818,20200428,,2.32,0.2,0.05,,1.0,0.1,,上证港股通指数收益率,L,被动指数型,契约型开放式,,20200818,20200818,E
10,159815.SZ,浙江100,招商基金,浙商银行,股票型,20200803,,20200818,20200428,,2.4604,0.3,0.1,,1.0,0.1,,中证浙江100指数收益率,L,被动指数型,契约型开放式,,20200818,20200818,E
11,159816.SZ,0-4地债,鹏华基金,兴业银行,债券型,20200730,,20200904,20200430,,24.6075,0.15,0.05,,1.0,0.1,,中证0-4年期地方政府债指数收益率,L,被动指数型,契约型开放式,,20200904,20200904,E
12,159819.SZ,AI智能,易方达基金,中国工商银行,股票型,20200727,,20200923,20200720,,61.5523,0.15,0.05,,1.0,0.1,,中证人工智能主题指数收益率,L,被动指数型,契约型开放式,,20200923,20200923,E
13,512350.SH,福建ETF,兴业基金,招商银行,股票型,20200727,,20200910,20200420,,2.1883,0.5,0.1,,1.0,0.1,,中证福建50指数收益率,L,被动指数型,契约型开放式,,20200910,20200910,E
14,515260.SH,电子ETF,华宝基金,中国建设银行,股票型,20200717,,20200731,20200701,,29.1928,0.5,0.1,,1.0,0.1,,中证电子50指数收益率,L,被动指数型,契约型开放式,,20200731,20200731,E
15,515610.SH,中银中证800ETF,中银基金,中信银行,股票型,20200716,,20200818,20200430,,3.7786,0.45,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200818,20200818,E
16,159999.SZ,永赢500,永赢基金,中国银行,股票型,20200714,,20200812,20200608,,3.4234,0.15,0.05,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200812,20200812,E
17,511180.SH,上证可转债ETF,海富通基金,中信证券,债券型,20200713,,20200826,20200508,,6.026,0.25,0.05,,1.0,0.1,,上证投资级可转债及可交换债券指数收益率,L,被动指数型,契约型开放式,,20200826,20200826,E
18,518600.SH,上海金ETF,广发基金,招商银行,商品型,20200708,,20200805,20200618,,6.0706,0.5,0.1,,1.0,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,L,黄金现货合约,契约型开放式,,20200805,20200805,E
19,518680.SH,上海金ETF基金,富国基金,浦发银行/上海浦东发展银行,商品型,20200706,,20200728,20200611,,3.5589,0.5,0.1,,1.0,0.1,,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,L,黄金现货合约,契约型开放式,,20200728,20200728,E
20,510570.SH,兴业中证500ETF,兴业基金,中国银行,股票型,20200630,,20200812,20200506,,2.1806,0.5,0.1,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200812,20200812,E
21,515560.SH,证券ETF建信,建信基金,中信证券,股票型,20200629,,20200720,20200428,,29.7788,0.2,0.05,,1.0,0.1,,中证全指证券公司指数,L,被动指数型,契约型开放式,,20200720,20200720,E
22,512320.SH,工银MSCI中国ETF,工银瑞信基金,中信建投,股票型,20200629,,20200807,20200601,,6.5904,0.5,0.1,,1.0,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,,20200807,20200807,E
23,159814.SZ,创业大盘,西部利得基金,中国农业银行,股票型,20200619,,20200717,20200525,,4.084,0.5,0.1,,1.0,0.1,,创业板大盘指数收益率,L,被动指数型,契约型开放式,,20200717,20200717,E
24,511050.SH,地方债ETF,兴业基金,中国银行,债券型,20200618,,20200730,20200316,,4.0155,0.25,0.1,,1.0,0.1,,上证1-5年期地方政府债指数收益率,L,被动指数型,契约型开放式,,20200730,20200730,E
25,159810.SZ,浦银创业,浦银安盛基金,中国工商银行,股票型,20200612,,20200710,20200319,,2.6648,0.15,0.05,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20200710,20200710,E
26,515830.SH,工银中证800ETF,工银瑞信基金,兴业银行,股票型,20200601,,20200717,20200327,,3.9108,0.45,0.07,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200717,20200717,E
27,513080.SH,法国CAC40ETF,华安基金,中国银行,股票型,20200529,,20200612,20200330,,2.5692,0.5,0.15,,1.0,0.1,,法国CAC40指数收益率(经汇率调整后),L,被动指数型,契约型开放式,,20200612,20200612,E
28,515100.SH,低波红利ETF,景顺长城基金,交通银行,股票型,20200522,,20200703,20200427,,12.7694,0.5,0.1,,1.0,0.1,,中证红利低波动100指数收益率,L,被动指数型,契约型开放式,,20200703,20200703,E
29,515770.SH,上投摩根MSCIAETF,上投摩根基金,平安银行,股票型,20200513,,20200619,20200413,,7.4473,0.15,0.05,,1.0,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,,20200619,20200619,E
30,515820.SH,800ETF基金,富国基金,中国工商银行,股票型,20200513,,20200529,20200327,,2.4853,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200529,20200529,E
31,510690.SH,兴业金融ETF,兴业基金,招商银行,股票型,20200508,,20200622,20200302,,2.9584,0.5,0.1,,1.0,0.1,,上证180金融股指数收益率,L,被动指数型,契约型开放式,,20200622,20200622,E
32,167508.SZ,安信价值,安信基金,中国工商银行,混合型,20200430,,20200608,20200401,,4.0178,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中债总指数(全价)收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,E
33,515190.SH,中银证券500ETF,中银证券,招商银行,股票型,20200430,,20200527,20200330,,2.5147,0.15,0.05,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200527,20200527,E
34,515780.SH,浦银MSCI中国ETF,浦银安盛基金,中国银行,股票型,20200430,,20200529,20200320,,5.5479,0.15,0.05,,1.0,0.1,,MSCI中国A股人民币指数收益率,L,被动指数型,契约型开放式,,20200529,20200529,E
35,159809.SZ,恒生湾区,博时基金,招商银行,股票型,20200430,,20200521,20200330,,3.9117,0.15,0.05,,1.0,0.1,,恒生沪深港通大湾区综合指数收益率,L,被动指数型,契约型开放式,,20200521,20200521,E
36,159988.SZ,粤债ETF,平安基金,中国银行,债券型,20200429,,20200529,20200224,,6.6149,0.15,0.05,,1.0,0.1,,中债-0-5年广东省地方政府债指数,L,被动指数型,契约型开放式,,20200529,20200529,E
37,159812.SZ,黄金基金,前海开源基金,中国建设银行,商品型,20200429,,20200529,20200407,,3.1717,0.5,0.1,,1.0,0.1,,上海黄金交易所Au99.99现货实盘合约收益率,L,黄金现货合约,契约型开放式,,20200529,20200529,E
38,159803.SZ,浙江ETF,易方达基金,中国工商银行,股票型,20200427,,20200526,20200122,,2.6685,0.5,0.15,,1.0,0.1,,中证浙江新动能指数收益率,L,被动指数型,契约型开放式,,20200526,20200526,E
39,518660.SH,黄金ETF基金,工银瑞信基金,中国农业银行,商品型,20200424,,20200529,20200323,,5.6667,0.5,0.1,,1.0,0.1,,上海黄金交易所Au99.99现货实盘合约收盘价收益率,L,黄金现货合约,契约型开放式,,20200529,20200529,E
40,515960.SH,医药健康ETF,嘉实基金,中国银行,股票型,20200424,,20200610,20200325,,3.4399,0.5,0.1,,1.0,0.1,,中证医药健康100策略指数收益率,L,被动指数型,契约型开放式,,20200610,20200610,E
41,515620.SH,中证800ETF基金,建信基金,中金公司,股票型,20200417,,20200525,20200316,,3.2116,0.15,0.05,,1.0,0.1,,中证800指数收益率,L,被动指数型,契约型开放式,,20200525,20200525,E
42,159813.SZ,芯片,鹏华基金,申万宏源证券,股票型,20200417,,20200525,20200325,,5.5974,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200525,20200525,E
43,515670.SH,中银中证100ETF,中银基金,中信证券,股票型,20200417,,20200520,20200320,,3.1982,0.45,0.09,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,20200520,20200520,E
44,515930.SH,永赢沪深300ETF,永赢基金,中国工商银行,股票型,20200413,,20200508,20200323,,2.8191,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200508,20200508,E
45,518850.SH,黄金ETF9999,华夏基金,中国建设银行,商品型,20200413,,20200605,20200327,,3.3362,0.5,0.1,,1.0,0.1,,上海黄金交易所黄金现货实盘合约Au99.99价格收益率,L,黄金现货合约,契约型开放式,,20200605,20200605,E
46,501099.SH,平安科技创新,平安基金,平安银行,混合型,20200410,,20200701,20200305,,2.0456,1.5,0.25,,1.0,0.01,,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*20%+恒生指数收益率(经汇率估值调整)*15%,L,灵活配置型,契约型开放式,,,,E
47,510200.SH,上证券商ETF,汇安基金,兴业证券,股票型,20200409,,20200508,20200316,,2.0389,0.5,0.1,,1.0,0.1,,上证证券行业指数,L,被动指数型,契约型开放式,,20200508,20200508,E
48,168701.SZ,金融科技,合煦智远基金,申万宏源证券,股票型,20200403,,20200506,20200302,,5.2143,0.5,0.1,,1.0,0.001,,国证香蜜湖金融科技指数,L,被动指数型,契约型开放式,,20200506,20200506,E
49,515130.SH,沪深300ETF博时,博时基金,中国建设银行,股票型,20200403,,20200511,20200309,,2.6546,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200511,20200511,E
50,515280.SH,富国银行ETF,富国基金,中信证券,股票型,20200401,,20200417,20200311,,3.1262,0.5,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20200417,20200417,E
51,159811.SZ,5G50ETF,博时基金,中信建投,股票型,20200327,,20200422,20200316,,13.4434,0.45,0.1,,1.0,0.1,,中证5G产业50指数收益率,L,被动指数型,契约型开放式,,20200422,20200422,E
52,164508.SZ,国富100,国海富兰克林基金,中国银行,股票型,20200327,,20200422,20200327,,1.3414,0.85,0.15,,1.0,,,中证100指数收益率*95%+银行同业存款利率*5%,L,增强指数型,契约型开放式,,20200330,20200330,E
53,501097.SH,科创国寿,国寿安保基金,中国民生银行,混合型,20200326,,20200828,20200312,,3.3005,1.2,0.2,,1.0,0.001,,中证全债指数收益率*60%+中国战略新兴产业成份指数收益率*40%,L,灵活配置型,契约型开放式,,,,E
54,501098.SH,科创建信,建信基金,中国农业银行,混合型,20200326,,20200427,20200305,,3.0917,1.2,0.2,,1.0,0.001,,中国战略新兴产业成份指数收益率*50%+中证综合债指数收益率*45%+恒生指数收益率(使用估值汇率折算)*5%,L,灵活配置型,契约型开放式,,,,E
55,159991.SZ,创大盘,招商基金,中信建投,股票型,20200320,,20200424,20200302,,3.3973,0.2,0.1,,1.0,0.1,,创业板大盘指数收益率,L,被动指数型,契约型开放式,,20200424,20200424,E
56,159992.SZ,创新药,银华基金,上海银行,股票型,20200320,,20200410,20200302,,49.1638,0.5,0.05,,1.0,0.1,,中证创新药产业指数,L,被动指数型,契约型开放式,,20200410,20200410,E
57,515690.SH,股息龙头ETF,鹏华基金,中信证券,股票型,20200320,,20200513,20200224,,2.2309,0.2,0.1,,1.0,0.1,,中证高股息龙头指数收益率,L,被动指数型,契约型开放式,,20200513,20200513,E
58,501096.SH,国联安科创,国联安基金,中国建设银行,混合型,20200320,,20200722,20200225,,5.5603,1.2,0.2,,1.0,0.001,,中国战略新兴产业成份指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,L,灵活配置型,契约型开放式,,,,E
59,159998.SZ,计算机,天弘基金,中信证券,股票型,20200320,,20200413,20200302,,2.8786,0.5,0.1,,1.0,0.1,,中证计算机主题指数收益率,L,被动指数型,契约型开放式,,20200413,20200413,E
60,160527.SZ,研究优选,博时基金,中国银行,混合型,20200320,,20200619,20200309,,20.5379,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,L,灵活配置型,契约型开放式,,,,E
61,515890.SH,中证红利指数ETF,博时基金,招商银行,股票型,20200320,,20200420,20200224,,3.1244,0.15,0.05,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20200420,20200420,E
62,515510.SH,成长估值ETF,嘉实基金,中国银行,股票型,20200316,,20200506,20200203,,2.3553,0.5,0.1,,1.0,0.1,,中证500成长估值指数收益率,L,被动指数型,契约型开放式,,20200506,20200506,E
63,515950.SH,医药50ETF基金,富国基金,招商银行,股票型,20200316,,20200401,20200121,,2.772,0.5,0.1,,1.0,0.1,,中证医药50指数收益率,L,被动指数型,契约型开放式,,20200401,20200401,E
64,159807.SZ,科技ETF,易方达基金,中国银行,股票型,20200316,,20200330,20200309,,15.0003,0.15,0.05,,1.0,0.1,,中证科技50指数收益率,L,被动指数型,契约型开放式,,20200330,20200330,E
65,513090.SH,香港证券ETF,易方达基金,招商银行,股票型,20200313,,20200326,20200224,,10.1999,0.15,0.05,,1.0,0.1,,中证香港证券投资主题指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20200326,20200326,E
66,501095.SH,BOCI科创,中银证券,中国农业银行,混合型,20200312,,20200708,20200227,,8.8468,1.2,0.2,,1.0,0.001,,中国战略新兴产业成份指数收益率*55%+中债综合全价指数收益率*45%,L,灵活配置型,契约型开放式,,,,E
67,159806.SZ,新能车,国泰基金,浦发银行/上海浦东发展银行,股票型,20200310,,20200320,20200302,,23.607,0.5,0.1,,1.0,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,,20200320,20200320,E
68,159805.SZ,传媒ETF,鹏华基金,中国建设银行,股票型,20200306,,20200417,20200217,,24.6245,0.5,0.1,,1.0,0.1,,中证传媒指数收益率,L,被动指数型,契约型开放式,,20200417,20200417,E
69,159978.SZ,湾区ETF,建信基金,招商银行,股票型,20200306,,20200414,20200120,,8.6692,0.3,0.1,,1.0,0.1,,中证沪港深粤港澳大湾区发展主题指数,L,被动指数型,契约型开放式,,20200414,20200414,E
70,511380.SH,可转债ETF,博时基金,招商银行,债券型,20200306,,20200407,20200210,,6.0187,0.15,0.05,,1.0,0.1,,中证可转债及可交换债券指数收益率,L,被动指数型,契约型开放式,,20200407,20200407,E
71,159804.SZ,创精选88,国寿安保基金,中信证券,股票型,20200304,,20200331,20200219,,3.499,0.3,0.1,,1.0,0.1,,国证创业板中盘精选88指数,L,被动指数型,契约型开放式,,20200331,20200331,E
72,515630.SH,证保ETF,鹏华基金,中国建设银行,股票型,20200228,,20200403,20200113,,6.8572,0.5,0.1,,1.0,0.1,,中证800证券保险指数收益率,L,被动指数型,契约型开放式,,20200403,20200403,E
73,159996.SZ,家电ETF,国泰基金,浦发银行/上海浦东发展银行,股票型,20200227,,20200316,20200210,,9.3255,0.5,0.1,,1.0,0.1,,中证全指家用电器指数收益率,L,被动指数型,契约型开放式,,20200316,20200316,E
74,159997.SZ,电子ETF,天弘基金,海通证券,股票型,20200227,,20200320,20200210,,11.5431,0.5,0.1,,1.0,0.1,,中证电子指数收益率,L,被动指数型,契约型开放式,,20200320,20200320,E
75,159983.SZ,大湾区,华夏基金,招商银行,股票型,20200225,,20200423,20200204,,4.3675,0.3,0.1,,1.0,0.1,,粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,20200423,20200423,E
76,501092.SH,交银瑞思,交银施罗德基金,中国农业银行,混合型,20200221,,20200805,20200217,,49.4585,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,L,偏股混合型,契约型开放式,,,,E
77,515030.SH,新能源车ETF,华夏基金,中国银行,股票型,20200220,,20200304,20200203,,107.6288,0.5,0.1,,1.0,0.1,,中证新能源汽车指数收益率,L,被动指数型,契约型开放式,,20200304,20200304,E
78,502000.SH,500增强LOF,西部利得基金,兴业银行,股票型,20200219,,20200224,20200219,,3.5764,1.0,0.2,,1.0,,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20200224,20200224,E
79,169107.SZ,东证恒阳,东证资管,招商银行,混合型,20200213,,20200723,20200207,,19.7196,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+恒生指数收益率*20%+中国债券总指数收益率*10%,L,混合型,契约型开放式,,,,E
80,515160.SH,MSCI中国招商ETF,招商基金,中国银行,股票型,20200203,,20200302,20191209,,5.0796,0.5,0.1,,1.0,0.1,,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
81,159994.SZ,5GETF,银华基金,中国农业银行,股票型,20200122,,20200228,20191227,,10.97,0.5,0.1,,1.0,0.1,,中证5G通信主题指数,L,被动指数型,契约型开放式,,20200228,20200228,E
82,515210.SH,钢铁ETF,国泰基金,招商银行,股票型,20200122,,20200302,20200102,,4.3523,0.5,0.1,,1.0,0.1,,中证钢铁指数收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
83,515850.SH,证券ETF富国,富国基金,中国建设银行,股票型,20200121,,20200221,20191016,,5.0829,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20200221,20200221,E
84,159995.SZ,芯片ETF,华夏基金,中国建设银行,股票型,20200120,,20200210,20191224,,53.8846,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
85,501091.SH,嘉实瑞熙,嘉实基金,招商银行,混合型,20200120,,20200722,20191219,,12.5672,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合财富指数收益率*30%+恒生指数收益率*10%,L,偏股混合型,契约型开放式,,,,E
86,515220.SH,煤炭ETF,国泰基金,中国工商银行,股票型,20200120,,20200302,20200102,,3.9259,0.5,0.1,,1.0,0.1,,中证煤炭指数收益率,L,被动指数型,契约型开放式,,20200302,20200302,E
87,159801.SZ,芯片基金,广发基金,中国工商银行,股票型,20200120,,20200218,20200106,,25.2406,0.5,0.1,,1.0,0.1,,国证半导体芯片指数收益率,L,被动指数型,契约型开放式,,20200218,20200218,E
88,515090.SH,可持续发展ETF,博时基金,招商银行,股票型,20200119,,20200220,20191216,,14.708,0.5,0.1,,1.0,0.1,,中证可持续发展100指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200220,20200220,E
