,ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,ma10,ma_v_10
0,159948.SZ,20201013,2.917,2.91,2.94,2.891,2.93,0.013,0.4457,88749.0,25912.953,2.7506,87448.894
1,159948.SZ,20201012,2.812,2.832,2.92,2.832,2.917,0.105,3.734,104776.0,30251.135,2.7285,84811.594
2,159948.SZ,20201009,2.711,2.743,2.815,2.743,2.812,0.101,3.7256,93152.0,26022.013,2.7103,82406.394
3,159948.SZ,20200930,2.699,2.701,2.738,2.693,2.711,0.012,0.4446,62459.94,16965.221,2.6982,83322.194
4,159948.SZ,20200929,2.661,2.67,2.715,2.655,2.699,0.038,1.428,76260.0,20499.368,2.6963,85983.2
5,159948.SZ,20200928,2.68,2.682,2.688,2.651,2.661,-0.019,-0.709,103469.0,27598.786,2.6991,84093.0
6,159948.SZ,20200925,2.671,2.674,2.703,2.663,2.68,0.009,0.337,87943.0,23570.431,2.7037,82124.4
7,159948.SZ,20200924,2.736,2.71,2.721,2.665,2.671,-0.065,-2.3757,80231.0,21578.917,2.7023,81870.2
8,159948.SZ,20200923,2.689,2.689,2.741,2.683,2.736,0.047,1.7479,71692.0,19480.307,2.6968,89153.9
9,159948.SZ,20200922,2.709,2.697,2.73,2.677,2.689,-0.02,-0.7383,105757.0,28678.503,2.6892,102119.8
10,159948.SZ,20200921,2.735,2.74,2.745,2.702,2.709,-0.026,-0.9506,62376.0,16974.338,2.6996,101316.2
11,159948.SZ,20200918,2.691,2.694,2.737,2.671,2.735,0.044,1.6351,80724.0,21849.193,2.7084,107321.0
12,159948.SZ,20200917,2.692,2.69,2.718,2.652,2.691,-0.001,-0.0371,102310.0,27404.299,2.7224,109927.7
13,159948.SZ,20200916,2.727,2.727,2.731,2.674,2.692,-0.035,-1.2835,89070.0,24034.875,2.7422,111817.9
14,159948.SZ,20200915,2.707,2.714,2.73,2.696,2.727,0.02,0.7388,57358.0,15587.077,2.7646,114764.2
15,159948.SZ,20200914,2.666,2.672,2.738,2.672,2.707,0.041,1.5379,83783.0,22644.823,2.7811,117796.9
16,159948.SZ,20200911,2.616,2.615,2.669,2.607,2.666,0.05,1.9113,85401.0,22509.61,2.7971,121020.9
