,0,1,2,3,4,5,6
0,159987.SZ,0.998,100200,20191209,B,100000,0
1,515200.SH,1.008,99206,20191211,B,100000,0
2,515020.SH,1.022,97847,20191218,B,100000,0
3,515020.SH,1.03,97847,20191224,S,100782.41,0.7824100000000035
4,515020.SH,1.025,98324,20191230,B,100782.41,0
5,515650.SH,0.978,102249,20191211,B,100000,0
6,515650.SH,0.978,102249,20191212,S,99999.522,-0.00047800000000279395
7,515650.SH,0.997,100300,20191218,B,99999.522,0
8,515650.SH,0.993,100300,20191220,S,99597.9,-0.40162391976233947
9,515650.SH,0.9890000000000001,100706,20191225,B,99597.9,0
10,515810.SH,0.958,104384,20191108,B,100000,0
11,515810.SH,0.95,104384,20191213,S,99164.79999999999,-0.8352000000000116
12,515810.SH,0.976,101603,20191217,B,99164.79999999999,0
13,515810.SH,0.977,101603,20191223,S,99266.131,0.1021844444803051
14,515800.SH,1.003,99701,20191231,B,100000,0
15,515580.SH,1.04,96154,20191120,B,100000,0
16,515860.SH,1.016,98425,20191106,B,100000,0
17,515860.SH,1.0090000000000001,98425,20191112,S,99310.82500000001,-0.6891749999999883
18,515860.SH,1.083,91700,20191217,B,99310.82500000001,0
19,515520.SH,0.9940000000000001,100604,20191211,B,100000,0
20,515520.SH,1.005,100604,20191224,S,101107.01999999999,1.1070199999999895
21,515520.SH,1.022,98931,20191227,B,101107.01999999999,0
22,515360.SH,3.83,26110,20191206,B,100000,0
23,515360.SH,3.861,26110,20191213,S,100810.71,0.8107100000000064
24,515360.SH,3.972,25380,20191217,B,100810.71,0
25,512970.SH,0.985,101523,20191209,B,100000,0
26,512970.SH,0.993,101523,20191213,S,100812.33899999999,0.8123389999999927
27,512970.SH,1.0190000000000001,98933,20191216,B,100812.33899999999,0
28,512970.SH,1.023,98933,20191223,S,101208.45899999999,0.3929280918677974
29,515010.SH,0.945,105820,20191205,B,100000,0
30,515050.SH,0.9990000000000001,100100,20191105,B,100000,0
31,515050.SH,0.976,100100,20191031,S,97697.59999999999,-2.3024000000000084
32,515050.SH,0.9990000000000001,97795,20191105,B,97697.59999999999,0
33,515050.SH,0.9840000000000001,97795,20191107,S,96230.28000000001,-1.5018997396046352
34,515050.SH,0.9940000000000001,96811,20191108,B,96230.28000000001,0
35,515050.SH,1.018,96811,20191220,S,98553.598,2.4143315388877435
36,510100.SH,1.042,95969,20191106,B,100000,0
37,510100.SH,1.023,95969,20191122,S,98176.287,-1.8237130000000035
38,510100.SH,1.02,96251,20191211,B,98176.287,0
39,512530.SH,1.008,99206,20191014,B,100000,0
40,512530.SH,0.9940000000000001,99206,20191129,S,98610.76400000001,-1.38923599999999
41,512530.SH,1.012,97441,20191213,B,98610.76400000001,0
42,512530.SH,1.023,97441,20191224,S,99682.143,1.086472669454205
43,512530.SH,1.034,96404,20191227,B,99682.143,0
44,515880.SH,1.092,91575,20191218,B,100000,0
