,ts_code,name,market,publisher,category,base_date,base_point,list_date
0,000171.CSI,新兴成指,CSI,中证公司,主题指数,20101231,1000.0,20170125
1,000188.CSI,中国波指,CSI,中证公司,主题指数,,,20161128
2,000300HKD00.CSI,沪深300HKD,CSI,中证公司,规模指数,20041231,1000.0,20200720
3,000300HKD01.CSI,沪深300(全)HKD,CSI,中证公司,规模指数,20041231,1000.0,20200720
4,000300HKD02.CSI,沪深300(净)HKD,CSI,中证公司,规模指数,20041231,1000.0,20200720
5,000300HKD07.CSI,沪深300HKD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20200720
6,000300HKD08.CSI,沪深300(全)HKD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20200720
7,000500.CSI,中国500,CSI,中证公司,规模指数,20041231,1000.0,20141017
8,000500CNY01.CSI,中国500(全),CSI,中证公司,主题指数,20041231,1000.0,20141017
9,000500HKD00.CSI,中国500(HKD),CSI,中证公司,规模指数,20041231,1000.0,20141017
10,000500HKD01.CSI,中国500(全)HKD,CSI,中证公司,规模指数,20041231,1000.0,20141017
11,000500HKD07.CSI,中国500HKD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20141017
12,000500HKD08.CSI,中国500(全)HKD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20141017
13,000500USD00.CSI,中国500(USD),CSI,中证公司,规模指数,20041231,1000.0,20141017
14,000500USD01.CSI,中国500(全)USD,CSI,中证公司,主题指数,20041231,1000.0,20141017
15,000500USD07.CSI,中国500USD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20141017
16,000500USD08.CSI,中国500(全)USD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20141017
17,000501.CSI,中国1000(CNY),CSI,中证公司,规模指数,20041231,1000.0,20160510
18,000501CNY01.CSI,中国1000(全)CNY,CSI,中证公司,规模指数,20061229,1000.0,20160510
19,000501HKD00.CSI,中国1000(HKD),CSI,中证公司,规模指数,20041231,1000.0,20160510
20,000501HKD01.CSI,中国1000(全)HKD,CSI,中证公司,规模指数,20041231,1000.0,20160510
21,000501HKD07.CSI,中国1000HKD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20160510
22,000501HKD08.CSI,中国1000(全)HKD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20160510
23,000501USD00.CSI,中国1000(USD),CSI,中证公司,规模指数,20041231,1000.0,20160510
24,000501USD01.CSI,中国1000(全)USD,CSI,中证公司,规模指数,20061229,1000.0,20160510
25,000501USD07.CSI,中国1000USD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20160510
26,000501USD08.CSI,中国1000(全)USD(CNH),CSI,中证公司,规模指数,20041231,1000.0,20160510
27,000801.CSI,资源80,CSI,中证公司,主题指数,20041231,1000.0,20111108
28,000803.CSI,300波动,CSI,中证公司,策略指数,20041231,1000.0,20120109
29,000804.CSI,500波动,CSI,中证公司,策略指数,20041231,1000.0,20120109
30,000806.CSI,消费服务,CSI,中证公司,主题指数,20041231,1000.0,20120210
31,000807.CSI,食品饮料,CSI,中证公司,主题指数,20041231,1000.0,20120217
32,000809.CSI,细分农业,CSI,中证公司,主题指数,20041231,1000.0,20120411
33,000810.CSI,细分能源,CSI,中证公司,主题指数,20041231,1000.0,20120411
34,000811.CSI,细分有色,CSI,中证公司,主题指数,20041231,1000.0,20120411
35,000812.CSI,细分机械,CSI,中证公司,主题指数,20041231,1000.0,20120411
36,000813.CSI,细分化工,CSI,中证公司,主题指数,20041231,1000.0,20120411
37,000815.CSI,细分食品,CSI,中证公司,主题指数,20041231,1000.0,20120411
38,000816.CSI,细分地产,CSI,中证公司,主题指数,20041231,1000.0,20120411
39,000818.CSI,细分金融,CSI,中证公司,主题指数,20041231,1000.0,20120411
40,000820.CSI,煤炭指数,CSI,中证公司,主题指数,20041231,1000.0,20120509
41,000821.CSI,沪深300红利,CSI,中证公司,主题指数,20041231,1000.0,20120720
42,000822.CSI,中证500红利,CSI,中证公司,主题指数,20041231,1000.0,20120720
43,000824.CSI,中证国企红利,CSI,中证公司,主题指数,20090630,1000.0,20120720
44,000825.CSI,中证央企红利,CSI,中证公司,主题指数,20081231,1000.0,20120720
45,000826.CSI,中证民企红利,CSI,中证公司,主题指数,20090630,1000.0,20120720
46,000829.CSI,沪深300低贝塔,CSI,中证公司,策略指数,20041231,1000.0,20120806
47,000830.CSI,中证500高贝塔,CSI,中证公司,策略指数,20041231,1000.0,20120806
48,000831.CSI,中证500低贝塔,CSI,中证公司,策略指数,20041231,1000.0,20120806
49,000832.CSI,中证转债,CSI,中证公司,债券指数,20021231,100.0,20120912
50,000833.CSI,中高企债,CSI,中证公司,债券指数,20081231,100.0,20120910
51,000834.CSI,中证银华价值7030,CSI,中证公司,策略指数,20041231,1000.0,20120830
52,000835.CSI,中证银华价值3070,CSI,中证公司,策略指数,20041231,1000.0,20120830
53,000836.CSI,中证银华成长7030,CSI,中证公司,策略指数,20041231,1000.0,20120830
54,000837.CSI,中证银华成长3070,CSI,中证公司,策略指数,20041231,1000.0,20120830
55,000838.CSI,中证创业价值,CSI,中证公司,主题指数,20091231,1000.0,20120926
56,000839.CSI,中证浙企综指,CSI,中证公司,主题指数,20051231,1000.0,20121109
57,000840.CSI,中证浙江民企,CSI,中证公司,主题指数,20051231,1000.0,20121109
58,000843.CSI,沪深300动态,CSI,中证公司,策略指数,20041231,1000.0,20130107
59,000844.CSI,沪深300稳定,CSI,中证公司,策略指数,20041231,1000.0,20130107
60,000845.CSI,中证中期信用债,CSI,中证公司,债券指数,20071231,100.0,20120918
61,000846.CSI,中证财通ESG100,CSI,中证公司,主题指数,20110630,1000.0,20121016
62,000850.CSI,300有色,CSI,中证公司,主题指数,20041231,1000.0,20121221
63,000859.CSI,国企一带一路,CSI,中证公司,主题指数,20131231,1000.0,20190516
64,000860.CSI,结构调整,CSI,中证公司,主题指数,20141231,1000.0,20180326
