,ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
0,000300.SH,20201009,44180364912131.0,33614285197977.0,3952158156079.0,2781475415429.0,1052726504174.0,0.4,1.06,13.5,14.87,1.6
1,000300.SH,20200930,43487408504751.0,33056443446607.0,3952156479204.0,2781473649514.0,1052707508741.0,0.32,0.85,13.29,14.64,1.57
2,000300.SH,20200929,43521360539785.0,33060693128732.0,3952138858833.0,2780761918239.0,1052064427080.0,0.31,0.82,13.3,14.65,1.58
3,000300.SH,20200928,43462719901358.0,33037539693268.0,3951013695964.0,2780743505158.0,1052046013999.0,0.31,0.81,13.29,14.63,1.58
4,000300.SH,20200925,43305987071510.0,32896505865708.0,3951001093733.0,2780564605496.0,1051886757472.0,0.33,0.88,13.24,14.58,1.57
5,000300.SH,20200924,43272405616490.0,32873522831000.0,3950930990591.0,2780557192644.0,1051862573400.0,0.4,1.07,13.23,14.57,1.57
6,000300.SH,20200923,43967413822148.0,33423408054887.0,3950884936559.0,2780551175612.0,1051851156368.0,0.34,0.91,13.44,14.8,1.6
7,000300.SH,20200922,43894551334250.0,33365434666947.0,3950884873839.0,2780516421383.0,1051816402139.0,0.43,1.14,13.42,14.77,1.59
8,000300.SH,20200921,44401174981407.0,33746093233431.0,3950901423839.0,2780516421383.0,1051819180305.0,0.45,1.18,13.57,14.95,1.61
9,000300.SH,20200918,44822985854433.0,34030603688077.0,3950899121422.0,2777889926364.0,1049547545800.0,0.58,1.53,13.7,15.09,1.63
10,000300.SH,20200917,43852663972616.0,33298129201605.0,3950868388110.0,2777883840651.0,1049363857020.0,0.38,1.01,13.4,14.76,1.59
11,000300.SH,20200916,44072564584247.0,33505072840638.0,3950878300310.0,2777877096985.0,1049359690354.0,0.39,1.04,13.47,14.83,1.6
12,000300.SH,20200915,44261369730913.0,33674717114633.0,3950878300092.0,2777877096767.0,1049358279512.0,0.37,0.97,13.53,14.9,1.6
13,000300.SH,20200914,43994517027704.0,33471264748066.0,3950877509933.0,2777877096767.0,1049331437797.0,0.39,1.02,13.45,14.81,1.59
14,000300.SH,20200911,43822118947483.0,33324824134074.0,3950877509933.0,2777877096767.0,1049329941239.0,0.42,1.1,13.4,14.75,1.59
15,000300.SH,20200910,43493153155796.0,33037927850940.0,3950878913606.0,2777863348033.0,1049304860829.0,0.54,1.44,13.29,14.64,1.58
16,000300.SH,20200909,43509453041874.0,33021099565882.0,3950878913606.0,2777863348033.0,1049257826673.0,0.58,1.55,13.3,14.65,1.58
17,000300.SH,20200908,44354659192727.0,33693853879151.0,3950725716091.0,2777717275357.0,1049111753997.0,0.5,1.33,13.56,14.93,1.61
18,000300.SH,20200907,44018354859165.0,33474094987107.0,3950725661815.0,2777719798081.0,1049018306140.0,0.54,1.42,13.46,14.82,1.6
19,000300.SH,20200904,44834574253050.0,34130191216301.0,3950173486622.0,2777152588669.0,1048451096728.0,0.43,1.14,13.7,15.09,1.63
20,000300.SH,20200903,45246483365575.0,34456371582703.0,3950173486622.0,2775904272171.0,1048357648242.0,0.52,1.39,13.83,15.23,1.64
21,000300.SH,20200902,45483958893632.0,34626534334199.0,3950166218645.0,2775766676074.0,1048220051774.0,0.57,1.51,13.9,15.31,1.65
22,000300.SH,20200901,45518897228887.0,34631105135693.0,3950138555153.0,2775755072282.0,1047636660496.0,0.5,1.32,13.91,15.32,1.65
