,index_code,con_code,trade_date,weight
0,000300.SH,003816.SZ,20201009,0.1023
1,000300.SH,601138.SH,20201009,0.1651
2,000300.SH,601077.SH,20201009,0.0347
3,000300.SH,600989.SH,20201009,0.0494
4,000300.SH,601698.SH,20201009,0.0471
5,000300.SH,601916.SH,20201009,0.0553
6,000300.SH,002938.SZ,20201009,0.0897
7,000300.SH,601298.SH,20201009,0.0243
8,000300.SH,601319.SH,20201009,0.0876
9,000300.SH,603259.SH,20201009,0.6445
10,000300.SH,600176.SH,20201009,0.1942
11,000300.SH,600170.SH,20201009,0.083
12,000300.SH,600118.SH,20201009,0.1197
13,000300.SH,600115.SH,20201009,0.1338
14,000300.SH,600111.SH,20201009,0.1448
15,000300.SH,600109.SH,20201009,0.2219
16,000300.SH,600104.SH,20201009,0.4162
17,000300.SH,600089.SH,20201009,0.2063
18,000300.SH,600085.SH,20201009,0.0901
19,000300.SH,600068.SH,20201009,0.1006
20,000300.SH,600066.SH,20201009,0.1295
21,000300.SH,600061.SH,20201009,0.1576
22,000300.SH,600038.SH,20201009,0.1001
23,000300.SH,600036.SH,20201009,2.238
24,000300.SH,600028.SH,20201009,0.3153
25,000300.SH,600019.SH,20201009,0.2698
26,000300.SH,600016.SH,20201009,0.6763
27,000300.SH,600011.SH,20201009,0.1427
28,000300.SH,600010.SH,20201009,0.1586
29,000300.SH,600009.SH,20201009,0.4011
30,000300.SH,600000.SH,20201009,0.6633
31,000300.SH,000977.SZ,20201009,0.1894
32,000300.SH,000963.SZ,20201009,0.1336
33,000300.SH,000961.SZ,20201009,0.1035
34,000300.SH,000938.SZ,20201009,0.222
35,000300.SH,000895.SZ,20201009,0.3285
36,000300.SH,000876.SZ,20201009,0.3511
37,000300.SH,000860.SZ,20201009,0.1862
38,000300.SH,000858.SZ,20201009,2.6488
39,000300.SH,000786.SZ,20201009,0.1575
40,000300.SH,000783.SZ,20201009,0.189
41,000300.SH,000776.SZ,20201009,0.284
42,000300.SH,000768.SZ,20201009,0.1924
43,000300.SH,000728.SZ,20201009,0.1307
44,000300.SH,000725.SZ,20201009,0.8448
45,000300.SH,000723.SZ,20201009,0.0457
46,000300.SH,000709.SZ,20201009,0.0545
47,000300.SH,000708.SZ,20201009,0.0365
48,000300.SH,000703.SZ,20201009,0.1203
49,000300.SH,000671.SZ,20201009,0.07
50,000300.SH,000661.SZ,20201009,0.632
51,000300.SH,000656.SZ,20201009,0.1153
52,000300.SH,000651.SZ,20201009,1.5802
53,000300.SH,000627.SZ,20201009,0.0639
54,000300.SH,000625.SZ,20201009,0.1667
55,000300.SH,000596.SZ,20201009,0.1524
56,000300.SH,000568.SZ,20201009,0.6395
57,000300.SH,000538.SZ,20201009,0.3192
58,000300.SH,000425.SZ,20201009,0.1638
59,000300.SH,000157.SZ,20201009,0.2589
60,000300.SH,000069.SZ,20201009,0.169
61,000300.SH,000066.SZ,20201009,0.1733
62,000300.SH,000063.SZ,20201009,0.54
63,000300.SH,000002.SZ,20201009,1.1443
64,000300.SH,000001.SZ,20201009,0.8833
65,000300.SH,601236.SH,20201009,0.0446
66,000300.SH,601066.SH,20201009,0.1532
67,000300.SH,002916.SZ,20201009,0.1034
68,000300.SH,600928.SH,20201009,0.0425
69,000300.SH,601577.SH,20201009,0.055
